                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.4374,                 2.0152,                  1.582,                0.28614,                0.35845,                0.23104,                0.09472,                 1.8475,                 3.3465,                  1.939,             0.00047419,             0.00047419,             0.00047419
                      1,                 1.7139,                 2.2456,                 1.8027,                0.29009,                0.17562,                0.08878,                0.03555,                 2.5094,                  3.212,                 2.5208,              0.0009317,              0.0009317,              0.0009317
                      2,                 1.6936,                 2.2213,                 1.7826,                0.53131,                0.21969,                0.15731,                0.06404,                 2.0934,                 2.5356,                 2.1732,              0.0013704,              0.0013704,              0.0013704
                      3,                  1.677,                 2.1993,                 1.7486,                 0.2818,                0.26021,                0.17573,                0.06817,                 2.0499,                 2.5632,                 2.0995,              0.0013441,              0.0013441,              0.0013441
                      4,                 1.6118,                 2.0843,                 1.7018,                0.35032,                0.35282,                0.30817,                 0.1545,                 1.8398,                 2.1298,                 1.8738,              0.0013441,              0.0013441,              0.0013441
                      5,                 1.5636,                 2.0064,                 1.6687,                0.40944,                0.39834,                0.35651,                0.18636,                 1.6704,                 1.9144,                 1.6882,              0.0013158,              0.0013158,              0.0013158
                      6,                 1.5068,                 1.8961,                 1.6213,                0.40213,                0.40147,                0.37843,                 0.1951,                 1.6675,                 1.7885,                 1.6776,              0.0012875,              0.0012875,              0.0012875
                      7,                 1.4793,                 1.8684,                 1.6098,                0.39294,                0.42669,                0.36716,                0.19574,                 1.6282,                 1.8366,                 1.6868,              0.0012592,              0.0012592,              0.0012592
                      8,                 1.4457,                 1.7816,                 1.5736,                0.45466,                0.38788,                0.38995,                0.20983,                 1.5664,                 1.7256,                 1.6134,              0.0012309,              0.0012309,              0.0012309
                      9,                 1.4482,                  1.781,                 1.5955,                0.46731,                0.40893,                0.40479,                  0.199,                 1.6024,                 1.6866,                 1.6342,              0.0012026,              0.0012026,              0.0012026
                     10,                 1.4241,                 1.7357,                  1.566,                0.45127,                0.44029,                0.40909,                0.21995,                 1.5508,                 1.6818,                 1.6053,              0.0011744,              0.0011744,              0.0011744
                     11,                 1.3934,                 1.6696,                 1.5518,                0.54567,                0.45016,                0.47686,                0.25768,                  1.491,                 1.5602,                  1.546,              0.0011461,              0.0011461,              0.0011461
                     12,                 1.3761,                 1.6581,                 1.5374,                0.46756,                 0.4593,                0.45535,                0.26184,                 1.4777,                 1.5504,                 1.5457,              0.0011178,              0.0011178,              0.0011178
                     13,                 1.3686,                 1.6313,                 1.5423,                0.46902,                0.47978,                0.46858,                0.26357,                 1.4958,                  1.505,                 1.5462,              0.0010895,              0.0010895,              0.0010895
                     14,                 1.3418,                  1.552,                 1.5127,                  0.486,                0.49497,                0.47503,                 0.2585,                 1.4859,                 1.5022,                 1.5309,              0.0010612,              0.0010612,              0.0010612
                     15,                 1.3403,                 1.5659,                 1.5148,                0.50332,                0.49639,                0.49204,                0.28242,                 1.4342,                 1.4313,                 1.5143,              0.0010329,              0.0010329,              0.0010329
                     16,                 1.3404,                 1.5347,                 1.5182,                  0.551,                0.50103,                0.50947,                0.28194,                 1.4403,                 1.4629,                 1.5076,              0.0010046,              0.0010046,              0.0010046
                     17,                  1.324,                 1.4999,                 1.5173,                0.54225,                 0.5114,                0.50712,                0.27686,                 1.4457,                 1.4913,                 1.5037,             0.00097629,             0.00097629,             0.00097629
